Date,Open,High,Low,Close,Volume
2026-02-27,7424.019183628366,7466.007980519342,7318.047458141616,7333.04345703125,3613319.0
2026-03-02,7415.021853980477,7415.307910480117,7246.066927012336,7334.04345703125,2775681.0
2026-03-03,7223.073108082086,7286.056306117957,6944.147516780369,7098.1064453125,3821872.0
2026-03-04,7131.097236287379,7232.070294028164,7095.106839468881,7188.08203125,4241919.0
2026-03-05,7000.0,7022.0,6767.0,6787.0,2809796.0
2026-03-06,6831.0,6893.0,6657.0,6749.0,2406682.0
2026-03-09,6451.0,6661.0,6401.0,6635.0,8663344.0
2026-03-10,6701.0,6844.0,6670.0,6837.0,3529462.0
2026-03-11,6808.0,6843.0,6722.0,6791.0,3332128.0
2026-03-12,6799.0,6927.0,6761.0,6845.0,2750197.0
2026-03-13,6811.0,6835.0,6663.80078125,6665.0,2454711.0
2026-03-16,6651.0,6798.0,6625.0,6694.0,1877001.0
2026-03-17,6731.0,6820.0,6708.7822265625,6757.0,1260957.0
2026-03-18,6786.0,6800.0,6617.0,6663.0,2942205.0
2026-03-19,6463.0,6488.0,6211.0,6338.0,3639140.0
2026-03-20,6399.0,6434.0,6218.89794921875,6246.0,7811145.0
2026-03-23,6111.0,6470.0,6049.0,6375.0,7260431.0
2026-03-24,6325.0,6481.0,6287.0,6481.0,6004575.0
2026-03-25,6528.0,6603.0,6509.0,6532.0,1622505.0
2026-03-26,6436.0,6474.0,6345.0,6430.0,3546384.0
2026-03-27,6548.0,6549.0,6359.0,6545.0,3452489.0
2026-03-30,6837.0,6837.0,6727.0,6772.0,3782788.0
2026-03-31,6800.0,6974.0,6780.0,6944.0,3001344.0
2026-04-01,7151.0,7161.0,7050.0,7118.0,3045752.0
2026-04-02,6992.0,7159.0,6938.0,7102.0,3449328.0
2026-04-07,7116.0,7184.0,7055.0,7119.0,2773232.0
2026-04-08,7508.0,7575.0,7300.0,7332.0,3820450.0
2026-04-09,7375.0,7380.0,7217.0,7248.0,1847658.0
2026-04-10,7240.0,7375.0,7232.0,7345.0,2764589.0
2026-04-13,7270.0,7356.0,7247.0,7316.0,1489907.0
2026-04-14,7408.0,7422.0,7270.0,7310.0,2021379.0
2026-04-15,7328.0,7390.0,7243.0,7243.0,1524691.0
2026-04-16,7395.0,7432.0,7340.0,7369.0,2119878.0
2026-04-17,7412.0,7466.0,7292.0,7448.0,2163324.0
2026-04-20,7393.0,7413.0,7314.0,7395.0,1773110.0
2026-04-21,7405.0,7447.0,7254.0,7290.0,1699214.0
2026-04-22,7375.0,7458.0,7359.0,7458.0,2576444.0
2026-04-23,7395.0,7486.0,7245.0,7424.0,1571021.0
2026-04-24,7311.0,7416.0,7299.0,7381.0,1047651.0
2026-04-27,7345.0,7432.0,7321.0,7347.0,970731.0
2026-04-28,7415.0,7465.0,7254.0,7308.0,4773008.0
2026-04-29,7316.0,7383.0,7179.0,7225.0,1602058.0
2026-04-30,7180.0,7359.0,7161.0,7348.0,2186118.0
2026-05-01,7366.0,7408.0,7295.0,7391.0,683764.0
2026-05-05,7226.0,7389.0,7215.0,7377.0,1532969.0
2026-05-06,7565.0,7749.0,7545.0,7720.0,2400155.0
2026-05-07,7736.0,7834.0,7684.0,7790.05810546875,1864430.0
2026-05-08,7737.0,7769.0,7666.0,7695.0,1341293.0
2026-05-11,7740.0,7951.0,7713.0,7927.0,2828265.0
2026-05-12,7868.0,8005.796875,7846.0,7920.0,3992025.0
2026-05-13,8154.0,8275.0,8131.0,8272.0,3145203.0
2026-05-14,8239.0,8270.0,8102.0,8154.0,1404609.0
2026-05-15,8019.0,8046.0,7696.0,7766.0,2784640.0
2026-05-18,7698.0,7808.0,7636.56396484375,7727.0,2222163.0
2026-05-19,7644.0,7652.0,7450.0,7509.0,3378905.0
2026-05-20,7540.0,7675.0,7523.0,7640.0,2627070.0
2026-05-21,7680.0,7805.0,7593.0,7768.0,3137285.0
2026-05-22,7785.0,7803.0,7678.0,7777.0,1902257.0
2026-05-26,7999.0,8033.0,7885.0,7928.0,1824217.0
2026-05-27,7976.0,9117.0,7798.0,7908.0,4992879.0
2026-05-28,7871.0,7935.0,6880.0,7925.0,1727389.0
2026-05-29,7980.0,8040.0,7879.0,7968.0,6004245.0
2026-06-01,7986.0,8051.0,6773.0,8051.0,3423538.0
2026-06-02,8100.0,8325.0,8100.0,8308.0,2710055.0
2026-06-03,8249.0,8272.0,8039.0,8072.0,1442422.0
2026-06-04,7995.0,8000.0,7802.0,7847.0,2306330.0
2026-06-05,7814.0,7814.0,7063.0,7604.0,2085595.0
2026-06-08,7536.0,7629.0,7330.0,7571.0,2525620.0
2026-06-09,7608.0,7657.0,7469.0,7469.0,6007028.0
2026-06-10,7526.0,7584.0,7401.0,7479.0,2341588.0
2026-06-11,7533.0,7643.0,7530.0,7594.0,3380804.0
2026-06-12,7773.0,7860.0,7654.0,7814.0,2581272.0
2026-06-15,7980.0,8007.0,7884.9990234375,7924.0,1971890.0
2026-06-16,7844.0,7983.0,7826.0,7892.0,2104436.0
2026-06-17,7880.0,7880.0,7671.0,7824.0,2059489.0
2026-06-18,7750.0,7750.0,7589.0,7589.0,3228413.0
2026-06-19,7565.0,7579.0,7386.0,7394.0,6796398.0
2026-06-22,7463.0,7518.0,7388.0,7513.0,2258023.0
2026-06-23,7296.0,7328.0,7173.0,7264.0,3132233.0
2026-06-24,7310.0,7314.0,7081.0,7163.0,3789623.0
2026-06-25,7100.0,7270.0,6089.0,7186.0,4541330.0
2026-06-26,7155.0,7215.0,7115.0,7168.0,1495945.0
2026-06-29,7160.0,7189.0,7036.0,7076.0,1750057.0
2026-06-30,7171.0,7262.0,7122.0,7122.0,2614565.0
2026-07-01,7052.0,7123.0,6958.0,7097.0,2288472.0
2026-07-02,7028.0,7129.0,5678.0,7081.0,1682274.0
2026-07-03,7150.0,7179.0,7060.0,7070.0,773732.0
2026-07-06,7048.0,7090.0,6986.0,7036.0,1291765.0
2026-07-07,6851.0,6954.0,5629.0,6825.0,2338145.0
2026-07-08,6776.0,6779.0,6484.0,6490.0,4649049.0
2026-07-09,6588.0,6680.0,6563.0,6675.0,2046170.0
2026-07-10,6750.0,6795.0,6719.0,6753.0,2719911.0
2026-07-13,6722.0,6810.0,6312.0,6733.0,3781080.0
2026-07-14,6760.0,6957.0,6753.0,6955.0,2280651.0
2026-07-15,6801.0,7002.0,6798.0,6867.0,2391535.0
